CID,Plant absorption and mobility,Soil absorption and mobility,Plant bioconcentrations,Terrestrial animals bioconcentrations,Aquatic animals bioconcentrations,Sediment and soil bioconcentrations,Aerobic degradation,Anaerobic degradation
10005,0,1,0,0,0,0,1,1
10007,0,0,0,0,0,0,0,0
1001,0,0,1,0,1,0,0,0
10039,0,0,0,0,0,1,0,0
1004,0,1,0,0,0,0,0,0
10041,0,1,0,0,0,0,1,1
10066,0,0,0,0,1,1,0,0
10085783,1,0,0,0,0,0,0,0
10100,0,0,0,0,0,0,0,0
10107,0,1,0,0,0,1,1,1
10110536,1,0,0,0,0,0,0,0
10112,0,0,0,0,0,1,0,0
101525,1,0,0,0,0,1,0,0
10157484,1,0,0,0,0,0,0,0
1017,0,1,1,0,1,1,1,1
10178,0,0,0,0,0,1,1,1
10219,0,0,0,0,0,0,0,0
10234,0,1,0,0,0,0,0,0
10234702,0,0,0,0,1,0,0,0
10238657,1,0,0,0,0,0,0,0
10241,0,0,0,1,1,1,0,0
10255083,0,1,0,0,0,0,0,0
10285,0,0,0,0,0,1,0,0
10298,0,0,0,0,0,0,0,0
1030,0,1,0,0,0,0,1,1
10307,0,0,0,0,0,0,0,0
1031,0,1,0,0,1,0,1,1
1032,0,1,0,0,1,1,1,1
10342051,0,0,0,0,1,1,0,0
10372,0,1,0,0,0,0,0,0
10405,0,1,0,0,0,0,1,1
10430,0,1,0,0,1,0,1,1
10439,0,1,0,0,0,0,1,1
10452,0,0,0,0,0,1,0,0
10461,0,1,0,0,0,1,1,1
10472,0,0,1,0,0,1,0,0
10476,0,0,0,0,0,0,0,0
10477,0,1,0,0,0,0,1,1
10482,0,1,0,0,0,0,0,0
10485,0,1,0,0,0,0,0,0
1049,0,1,1,0,0,1,1,1
105010,1,0,0,0,0,0,0,0
10509,0,1,0,0,0,0,1,1
10522,0,1,0,0,0,1,1,1
10553,0,1,0,0,0,1,1,1
10555,0,0,0,0,0,1,0,0
10560,0,1,0,0,0,0,0,0
10563,0,0,0,0,0,0,0,0
10564,0,0,0,0,0,1,0,0
